Ackermann, Jane Neptune (2015)  [Hannah Newcombe]  <1>
Ackermann, Jane Penelope: Once Upon a Time in the Woods (2014)  [Anne]
Ackermann, Jane Selfie (2014/X)  [Young Girl]
Ackermann, Jane Wheel It Hard! (????)  [Jane]
Ackermann, Joan Flowers (2002/I)  [Eunice]
Ackermann, Judith       Storm (2009/I)  [Clerk]
Ackermann, Kathrin      Also gut! Lassen wir uns scheiden! (1967) (TV)  [Frau von Brionne]  <3>
Ackermann, Kathrin      Barbara Wood: Herzflimmern (1998) (TV)  [Mrs. Shapiro]  <7>
Ackermann, Kathrin      Casinoabend mit Damen (1967) (TV)  <7>
Ackermann, Kathrin      Das kleine Arschloch und der alte Sack - Sterben ist Scheiße (2006)  (voice)  <7>
Ackermann, Kathrin      Das Lachgespenst (2002)  [Verkäuferin]  <3>
Ackermann, Kathrin      Das Veilchen (1979) (TV)  [Fräulein Szell]  <7>
Ackermann, Kathrin      Dein Tod ist die gerechte Strafe (1997) (TV)  [Irene Simonis]  <5>
Ackermann, Kathrin      Der Eisbär (1998)  <38>
Ackermann, Kathrin      Der Fall Walrawe (1980) (TV)
Ackermann, Kathrin      Der Kirschgarten (1959) (TV)  [Anja Ranjewskaja]  <2>
Ackermann, Kathrin      Der müde Theodor (1965) (TV)  [Helma Le Lièvre]  <7>
Ackermann, Kathrin      Der Werbeoffizier (1967) (TV)  [Rose]  <9>
Ackermann, Kathrin      Die Häupter meiner Lieben (1999)  [Coras Mutter]  <5>
Ackermann, Kathrin      Die Unbekannten im eigenen Haus (1985) (TV)  <15>
Ackermann, Kathrin      Drillinge an Bord (1959)  (uncredited)  [Showmaster]
Ackermann, Kathrin      Ein Ausgangstag (1965) (TV)  [Inge]  <3>
Ackermann, Kathrin      Ein kleines Fest (1969) (TV)  [Marion]  <13>
Ackermann, Kathrin      Ein toller Dreh (1971) (TV)  [Lady Cooper]  <7>
Ackermann, Kathrin      Eine Sommerliebe zu Dritt (2016) (TV)  [Maria]  <8>
Ackermann, Kathrin      Geschäfte mit Plückhahn (1971) (TV)  [Elfi Ziehbeil]  <14>
Ackermann, Kathrin      Herrliche Zeiten im Spessart (1967)  (as Katrin Ackermann)  [Katrin]  <9>
Ackermann, Kathrin      Ich auf Bestellung (1968) (TV)  [Frau Braling]  <4>
Ackermann, Kathrin      Ich back' mir einen Mann (2003) (TV)  [Oma Lilli]  <7>
Ackermann, Kathrin      Kein Krieg für Amédée (1963) (TV)  [Rosa]
Ackermann, Kathrin      Kiss Me! (1999)  [Officer Görke]
Ackermann, Kathrin      Kleines Arschloch (1997)  (voice)  [Mutter/Aufnahmenschwester/Schwester Ursula]  <4>
Ackermann, Kathrin      Kookie & Co. (1964) (TV)  <12>
Ackermann, Kathrin      Liebe gegen Paragraphen (1969) (TV)  [Pearl Hopkins]  <8>
Ackermann, Kathrin      Liebe und weitere Katastrophen (1999) (TV)  [Brigitte]  <10>
Ackermann, Kathrin      Mama arbeitet wieder (2008) (TV)  [Hannah Wacker]  <3>
Ackermann, Kathrin      Moral (1979) (TV)  [Fräulein Koch-Pobbeberg]  <13>
Ackermann, Kathrin      Morgen in Alabama (1984)  [Judge]  <5>
Ackermann, Kathrin      Nicht mit mir, Liebling (2012) (TV)  [Anja]  <7>
Ackermann, Kathrin      Nur der Freiheit gehört unser Leben (1969) (TV)  [Nelly]  <5>
Ackermann, Kathrin      Sieben Tage Ohne (2013) (TV)  [Regine Beckmann]  <9>
